Age,Income,Clicks,Conversion Rate,CTR,Age_AdType,Income_AdPlacement,Click_DayOfWeek,Click_Hour,Click_Month,High_CTR,High_Conversion,Gender_Male,Gender_Other,Location_Suburban,Location_Urban,Ad Type_Native,Ad Type_Text,Ad Type_Video,Ad Topic_Finance,Ad Topic_Food,Ad Topic_Health,Ad Topic_Technology,Ad Topic_Travel,Ad Placement_Social Media,Ad Placement_Website,Age_Group_19-25,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Age_Group_66+,Income_Group_Medium,Income_Group_High,Income_Group_Very High
61.0,35717.43,3.0,0.0981,0.0737,61.0_Banner,Low_Social Media,3,20,1,1,0,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
41.0,47453.25,5.0,0.0937,0.0592,41.0_Video,Medium_Search Engine,0,20,4,1,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
49.0,68126.35,4.0,0.1912,0.0563,49.0_Text,Very High_Social Media,5,20,2,1,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
68.0,64585.73,6.0,0.1122,0.0232,68.0_Text,Very High_Website,2,20,12,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
63.0,21109.4,5.0,0.1426,0.0539,63.0_Native,Low_Search Engine,6,20,7,1,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20.0,39576.44,5.0,0.1824,0.0424,20.0_Video,Medium_Social Media,0,20,2,0,1,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
49.0,64175.02,6.0,0.217,0.0383,49.0_Text,Very High_Search Engine,5,20,9,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
32.0,86262.4,4.0,0.1728,0.0707,32.0_Banner,Very High_Social Media,3,20,12,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
33.0,25917.02,3.0,0.0347,0.0488,33.0_Video,Low_Search Engine,3,20,10,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41.0,79881.45,6.0,0.077,0.0268,41.0_Text,Very High_Social Media,1,20,7,0,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
37.0,23818.88,2.0,0.2038,0.053,37.0_Banner,Low_Search Engine,4,20,11,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56.0,84335.16,8.0,0.164,0.0777,56.0_Video,Very High_Search Engine,2,20,1,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46.0,14832.77,4.0,0.267,0.0492,46.0_Video,Low_Search Engine,2,20,11,0,1,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
36.0,56217.3,3.0,0.1816,0.0588,36.0_Native,High_Search Engine,3,20,9,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
41.0,18577.67,4.0,0.3894,0.034,41.0_Native,Low_Search Engine,2,20,4,0,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
40.0,36197.15,5.0,0.0411,0.0336,40.0_Video,Low_Website,2,20,11,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
57.0,29682.04,10.0,0.119,0.0538,57.0_Video,Low_Search Engine,3,20,12,1,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
31.0,58803.46,7.0,0.0919,0.0716,31.0_Video,High_Search Engine,0,20,6,1,0,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
39.0,83984.08,2.0,0.2154,0.071,39.0_Native,Very High_Search Engine,2,20,3,1,1,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
22.0,84372.99,5.0,0.1317,0.0536,22.0_Native,Very High_Website,0,20,9,1,0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
44.0,64462.59,5.0,0.2373,0.1022,44.0_Banner,Very High_Website,4,20,10,1,1,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
47.0,51481.84,4.0,0.0358,0.0543,47.0_Native,High_Search Engine,3,20,6,1,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
23.0,43155.09,4.0,0.1346,0.0559,23.0_Video,Medium_Social Media,4,20,11,1,0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
69.0,40065.86,1.0,0.2226,0.048,69.0_Native,Medium_Social Media,4,20,3,0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
13.0,64109.49,5.0,0.0773,0.0111,13.0_Video,Very High_Website,4,20,8,0,0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
35.0,76422.96,8.0,0.3863,0.0466,35.0_Banner,Very High_Website,2,20,3,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
32.0,55448.78,6.0,0.5238375,0.0777,32.0_Native,High_Social Media,2,20,10,1,1,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
57.0,62817.58,4.0,0.1057,0.0547,57.0_Native,High_Website,6,20,8,1,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
57.0,30756.85,0.0,0.232,0.0508,57.0_Banner,Low_Social Media,0,20,9,1,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
37.0,43693.41,6.0,0.2854,0.0664,37.0_Video,Medium_Social Media,4,20,11,1,1,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
40.0,22501.59,4.0,0.2823,0.0538,40.0_Banner,Low_Social Media,4,20,3,1,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
21.0,63582.98,4.0,0.1279,0.0658,21.0_Text,Very High_Search Engine,4,20,7,1,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
5.0,34118.46,7.0,0.21,0.0666,5.0_Banner,Low_Search Engine,5,20,3,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29.0,29809.49,7.0,0.1981,0.0401,29.0_Native,Low_Search Engine,5,20,10,0,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37.0,22150.6,5.0,0.0864,0.0631,37.0_Video,Low_Website,3,20,9,1,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
53.0,45947.1,5.0,0.0538,0.0303,53.0_Video,Medium_Website,4,20,11,0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
53.0,51355.06,6.0,0.2863,0.058,53.0_Banner,High_Search Engine,4,20,10,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29.0,46982.03,6.0,0.0427,0.0224,29.0_Text,Medium_Website,0,20,7,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
